Model,Metric,fraud,politics,race,religion,suicide,terrorism,violence,pornography_sexual_minors
Claude-sonnet-3.5,Rejected,138,176,124,164,89,197,192,151
Claude-sonnet-3.5,Total,200,200,200,200,200,200,200,200
Gemini-2.0-flash,Rejected,180,197,199,188,194,199,189,193
Gemini-2.0-flash,Total,200,200,200,200,200,200,200,200
Deepseek-32B,Rejected,105,102,133,107,101,167,86,88
Deepseek-32B,Total,200,200,200,200,200,200,200,200
QwQ-32B,Rejected,59,84,76,58,96,156,67,90
QwQ-32B,Total,200,200,200,200,200,200,200,200
Qwen2.5-32B,Rejected,121,88,87,46,127,187,91,94
Qwen2.5-32B,Total,200,200,200,200,200,200,200,200
LLaMA3.3-70B,Rejected,102,53,130,41,187,145,48,113
LLaMA3.3-70B,Total,200,200,199,200,200,200,200,200
